r_m,Phi,clock_dnu_over_nu,interferometer_phase_proxy,cavity_df_over_f,gravimeter_dg_proxy
0.91,5.037125000904209e-15,5.037125000904209e-15,-5.038881043893413e-16,2.5185625004521045e-15,1.5183325296225546e-14
0.92,4.885111611309093e-15,4.885111611309093e-15,-5.191005469941782e-16,2.4425558056545466e-15,1.5215911161548223e-14
0.93,4.7328761488074715e-15,4.7328761488074715e-15,-5.343247215214896e-16,2.3664380744037357e-15,1.5227688241705326e-14
0.9400000000000001,4.580628120762865e-15,4.580628120762865e-15,-5.49539561715148e-16,2.2903140603814324e-15,1.5218385708222815e-14
0.9500000000000001,4.428579344934303e-15,4.428579344934303e-15,-5.647238111376058e-16,2.2142896724671514e-15,1.5187812863452196e-14
0.96,4.27694313231371e-15,4.27694313231371e-15,-5.798561063179079e-16,2.138471566156855e-15,1.5135862236442808e-14
0.97,4.125933441328263e-15,4.125933441328263e-15,-5.949150625164991e-16,2.0629667206641316e-15,1.506251220678956e-14
0.98,3.975764008341885e-15,3.975764008341885e-15,-6.098793615930349e-16,1.9878820041709426e-15,1.4967829114157262e-14
0.99,3.826647459797548e-15,3.826647459797548e-15,-6.24727841424408e-16,1.913323729898774e-15,1.4851968814376403e-14
1.0,3.6787944117144235e-15,3.6787944117144235e-15,-6.394395862850617e-16,1.8393972058572117e-15,1.4715177646857694e-14
1.01,3.532412562584475e-15,3.532412562584475e-15,-6.539940175710092e-16,1.7662062812922374e-15,1.455779278257339e-14
1.02,3.387705785995473e-15,3.387705785995473e-15,-6.683709842234538e-16,1.6938528929977365e-15,1.438024192697874e-14
1.03,3.244873229535582e-15,3.244873229535582e-15,-6.825508521880817e-16,1.622436614767791e-15,1.4183042357962911e-14
1.04,3.104108426702917e-15,3.104108426702917e-15,-6.965145922325311e-16,1.5520542133514585e-15,1.3966799285179001e-14
1.05,2.9655984286465918e-15,2.9655984286465918e-15,-7.102438654377081e-16,1.4827992143232959e-15,1.3732203523848044e-14
1.06,2.8295229625993773e-15,2.8295229625993773e-15,-7.237211056789242e-16,1.4147614812996886e-15,1.3480028483293041e-14
1.07,2.6960536238222688e-15,2.6960536238222688e-15,-7.369295984206295e-16,1.3480268119111344e-15,1.3211126477952416e-14
1.08,2.565353107765273e-15,2.565353107765273e-15,-7.4985355516401335e-16,1.2826765538826365e-15,1.2926424376356832e-14
