t_s,modulation_m_t,Phi,clock_dnu_over_nu,cavity_df_over_f,gravimeter_dg_proxy
22.5,1.0,3.752370299948712e-15,3.752370299948712e-15,1.876185149974356e-15,1.4715177646857694e-14
23.0,0.9510565162951538,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
23.5,0.8090169943749478,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
24.0,0.5877852522924736,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
24.5,0.309016994374948,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
25.0,6.123233995736766e-16,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
25.5,-0.3090169943749451,3.656058211873797e-15,3.656058211873797e-15,1.8280291059368986e-15,1.4715177646857694e-14
26.0,-0.5877852522924726,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
26.5,-0.8090169943749481,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
27.0,-0.9510565162951534,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
27.5,-1.0,3.605218523480135e-15,3.605218523480135e-15,1.8026092617400675e-15,1.4715177646857694e-14
28.0,-0.9510565162951538,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
28.5,-0.8090169943749468,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
29.0,-0.5877852522924737,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
29.5,-0.3090169943749498,3.656058211873796e-15,3.656058211873796e-15,1.828029105936898e-15,1.4715177646857694e-14
30.0,-7.347880794884119e-16,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
30.5,0.3090169943749484,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
31.0,0.5877852522924725,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
31.5,0.8090169943749459,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
32.0,0.9510565162951533,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
32.5,1.0,3.752370299948712e-15,3.752370299948712e-15,1.876185149974356e-15,1.4715177646857694e-14
33.0,0.9510565162951539,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
33.5,0.809016994374949,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
34.0,0.5877852522924738,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
34.5,0.30901699437494656,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
35.0,8.572527594031472e-16,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
35.5,-0.3090169943749449,3.656058211873797e-15,3.656058211873797e-15,1.8280291059368986e-15,1.4715177646857694e-14
36.0,-0.5877852522924725,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
36.5,-0.8090169943749479,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
37.0,-0.9510565162951533,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
37.5,-1.0,3.605218523480135e-15,3.605218523480135e-15,1.8026092617400675e-15,1.4715177646857694e-14
38.0,-0.9510565162951539,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
38.5,-0.8090169943749469,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
39.0,-0.5877852522924739,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
39.5,-0.30901699437495006,3.656058211873796e-15,3.656058211873796e-15,1.828029105936898e-15,1.4715177646857694e-14
